,tag1,tag2,P(tag2|tag1)
0,cc,prp$,0.02723463687150838
1,cc,jj,0.11731843575418995
2,cc,ex,0.004888268156424581
3,cc,in,0.046089385474860335
4,cc,vb,0.05307262569832402
5,cc,wrb,0.0034916201117318434
6,cc,vbz,0.02653631284916201
7,cc,vbd,0.061452513966480445
8,cc,jjr,0.013966480446927373
9,cc,vbp,0.006983240223463687
10,cc,nnps,0.002094972067039106
11,cc,vbn,0.019553072625698324
12,cc,cd,0.0111731843575419
13,cc,wp,0.0034916201117318434
14,cc,$,0.0013966480446927375
15,cc,cc,0.0006983240223463687
16,cc,nnp,0.13687150837988826
17,cc,nn,0.1180167597765363
18,cc,prp,0.05377094972067039
19,cc,dt,0.12639664804469275
20,cc,vbg,0.0335195530726257
21,cc,nns,0.0670391061452514
22,cc,rb,0.046089385474860335
23,cc,to,0.004888268156424581
24,cc,rbr,0.0013966480446927375
25,cc,md,0.011871508379888268
26,cc,jjs,0.0006983240223463687
27,wrb,vbz,0.016666666666666666
28,wrb,jj,0.07222222222222222
29,wrb,prp$,0.03333333333333333
30,wrb,vbn,0.011111111111111112
31,wrb,cd,0.005555555555555556
32,wrb,vb,0.011111111111111112
33,wrb,nnps,0.011111111111111112
34,wrb,in,0.005555555555555556
35,wrb,vbp,0.005555555555555556
36,wrb,fin,0.005555555555555556
37,wrb,vbd,0.005555555555555556
38,wrb,nnp,0.11666666666666667
39,wrb,to,0.03333333333333333
40,wrb,prp,0.3277777777777778
41,wrb,vbg,0.03333333333333333
42,wrb,nn,0.06666666666666667
43,wrb,dt,0.16666666666666666
44,wrb,nns,0.05
45,wrb,rb,0.011111111111111112
46,wrb,pdt,0.011111111111111112
47,wdt,nns,0.010526315789473684
48,wdt,md,0.08947368421052632
49,wdt,dt,0.010526315789473684
50,wdt,nnp,0.04736842105263158
51,wdt,nn,0.010526315789473684
52,wdt,rb,0.031578947368421054
53,wdt,vbg,0.005263157894736842
54,wdt,prp,0.042105263157894736
55,wdt,vbz,0.24736842105263157
56,wdt,vbp,0.18947368421052632
57,wdt,vbd,0.2631578947368421
58,wdt,in,0.02631578947368421
