,mot1,mot2,P(mot2|mot1)
0,art,crawl,0.1111111111111111
1,art,galleries,0.1111111111111111
2,art,classes,0.1111111111111111
3,art,one,0.1111111111111111
4,art,and,0.1111111111111111
5,art,in,0.2222222222222222
6,art,school,0.1111111111111111
7,art,world,0.1111111111111111
8,aruba,wireless,1.0
9,barrier,fin,0.5
10,barrier,to,0.5
11,binghi,thompson,1.0
12,biting,off,1.0
13,bonobos,the,1.0
14,brands,today,0.5
15,brands,such,0.5
16,bushs,firstrate,1.0
17,carbonate,fin,1.0
18,cautious,at,0.5
19,cautious,about,0.5
20,clinics,around,1.0
21,commanders,and,0.5
22,commanders,in,0.5
23,connected,to,1.0
24,cowell,went,1.0
25,creativity,re,0.5
26,creativity,loose,0.5
27,cubs,have,0.5
28,cubs,offense,0.5
29,cures,&,1.0
30,currents,fin,0.5
31,currents,and,0.5
32,debunked,much,1.0
33,earl,sanders,1.0
34,embrace,the,1.0
35,everyday,vanilla,1.0
36,few,great,0.045454545454545456
37,few,if,0.045454545454545456
38,few,words,0.045454545454545456
39,few,blacks,0.045454545454545456
40,few,days,0.13636363636363635
41,few,weeks,0.09090909090909091
42,few,months,0.18181818181818182
43,few,hours,0.045454545454545456
44,few,minutes,0.045454545454545456
45,few,years,0.18181818181818182
46,few,are,0.045454545454545456
47,few,cyber,0.045454545454545456
48,few,thousand,0.045454545454545456
49,gratification,culture,1.0
50,harder,to,1.0
51,hope,that,0.1111111111111111
52,hope,to,0.1111111111111111
53,hope,they,0.1111111111111111
54,hope,the,0.1111111111111111
55,hope,youll,0.1111111111111111
56,hope,vice,0.1111111111111111
57,hope,of,0.1111111111111111
58,hope,adapted,0.1111111111111111
59,hope,pa,0.1111111111111111
60,icsc,said,1.0
61,indicator,of,1.0
62,involving,scotland,1.0
63,jewelry,store,1.0
64,lieutenant,on,0.5
65,lieutenant,and,0.5
66,likelihood,cannot,1.0
67,littlenumberlittlenumberk,plus,1.0
68,medicare,thats,0.3333333333333333
69,medicare,in,0.3333333333333333
70,medicare,is,0.3333333333333333
71,online,games,0.1
72,online,destination,0.1
73,online,service,0.1
74,online,at,0.1
75,online,ads,0.1
76,online,interactive,0.1
77,online,for,0.1
78,online,sales,0.1
79,online,advertising,0.1
80,online,travel,0.1
81,palins,side,1.0
82,paramedics,arrived,1.0
83,peekaboo,fin,1.0
84,pools,fin,1.0
85,precautionary,measure,1.0
86,priority,pointing,0.5
87,priority,to,0.5
88,recognize,individual,1.0
89,some,time,0.03076923076923077
90,some,big,0.015384615384615385
91,some,hope,0.015384615384615385
92,some,who,0.03076923076923077
93,some,people,0.015384615384615385
94,some,reforms,0.015384615384615385
95,some,canadian,0.015384615384615385
96,some,models,0.015384615384615385
97,some,shops,0.015384615384615385
98,some,airports,0.015384615384615385
99,some,whole,0.015384615384615385
100,some,teachers,0.015384615384615385
101,some,need,0.015384615384615385
102,some,relief,0.015384615384615385
103,some,events,0.015384615384615385
104,some,pleasant,0.015384615384615385
105,some,resilience,0.015384615384615385
106,some,previously,0.015384615384615385
107,some,paper,0.015384615384615385
108,some,reversal,0.015384615384615385
109,some,exceptions,0.015384615384615385
110,some,littlenumber,0.09230769230769231
111,some,this,0.015384615384615385
112,some,of,0.16923076923076924
113,some,form,0.015384615384615385
114,some,although,0.015384615384615385
115,some,littlenumberlittlenumber,0.015384615384615385
116,some,scepticism,0.015384615384615385
117,some,added,0.015384615384615385
118,some,cases,0.015384615384615385
119,some,aspects,0.015384615384615385
120,some,late,0.015384615384615385
121,some,legal,0.015384615384615385
122,some,trader,0.015384615384615385
123,some,reverend,0.015384615384615385
124,some,extent,0.015384615384615385
125,some,specific,0.03076923076923077
126,some,public,0.015384615384615385
127,some,facets,0.015384615384615385
128,some,disappointment,0.015384615384615385
129,some,in,0.015384615384615385
130,some,point,0.015384615384615385
131,some,littlenumberm,0.015384615384615385
132,some,studies,0.015384615384615385
133,some,assistance,0.015384615384615385
134,some,more,0.015384615384615385
135,some,corners,0.015384615384615385
136,standards,are,0.25
137,standards,in,0.5
138,standards,for,0.25
139,still,iphone,0.037037037037037035
140,still,routinely,0.037037037037037035
141,still,places,0.037037037037037035
142,still,outside,0.037037037037037035
143,still,has,0.037037037037037035
144,still,soft,0.037037037037037035
145,still,the,0.037037037037037035
146,still,a,0.07407407407407407
147,still,going,0.07407407407407407
148,still,being,0.037037037037037035
149,still,refusing,0.037037037037037035
150,still,could,0.037037037037037035
151,still,have,0.037037037037037035
152,still,discussing,0.037037037037037035
153,still,print,0.037037037037037035
154,still,sat,0.037037037037037035
155,still,an,0.037037037037037035
156,still,send,0.037037037037037035
157,still,was,0.037037037037037035
158,still,low,0.037037037037037035
159,still,out,0.037037037037037035
160,still,exists,0.037037037037037035
161,still,in,0.037037037037037035
162,still,fin,0.037037037037037035
163,still,provides,0.037037037037037035
164,superseded,by,1.0
165,those,technologies,0.02631578947368421
166,those,who,0.18421052631578946
167,those,with,0.05263157894736842
168,those,involved,0.02631578947368421
169,those,settlements,0.02631578947368421
170,those,lowly,0.02631578947368421
171,those,toxic,0.02631578947368421
172,those,arrested,0.02631578947368421
173,those,wind,0.02631578947368421
174,those,backing,0.02631578947368421
175,those,simulated,0.02631578947368421
176,those,of,0.15789473684210525
177,those,are,0.02631578947368421
178,those,at,0.02631578947368421
179,those,aged,0.02631578947368421
180,those,acts,0.02631578947368421
181,those,years,0.05263157894736842
182,those,flights,0.02631578947368421
183,those,now,0.02631578947368421
